id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
724566770267420045,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,102,2,78,2025-10-17,2.94,1,74,27,
733964865705013296,Historic 1 bed/ 1 bath,502037254,Andrew,,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,2023-03-26,0.03,3,365,0,
735879623743921266,Modern & Homey 1BD/1BA Fl 1 Apt @ Downtown Albany,44434571,Earl Vanze,,THIRD WARD,42.64564,-73.75261,Entire home/apt,84,1,95,2025-10-17,2.58,11,356,34,
737574278276037589,4 bed all on one floor,232967878,Diana,,TENTH WARD,42.66069,-73.78555,Entire home/apt,250,1,46,2025-03-02,1.26,21,1,2,
739722503092755616,Adirondack Suite #1,98744672,Bela,,NINTH WARD,42.6543178,-73.7818222,Private room,45,2,41,2025-10-14,1.11,8,360,9,
743600140734706394,Cozy apartment 2min walk to Albanymed office space,484673863,Michaela,,NINTH WARD,42.65569,-73.77685,Entire home/apt,85,1,21,2025-08-10,0.60,3,347,13,
744430701454304507,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,78,2,41,2025-10-04,1.31,2,353,18,
751421033442627559,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,,FIFTH WARD,42.66648,-73.76831,Entire home/apt,102,2,31,2025-08-04,0.94,1,362,5,
756752556396798800,Private Room in the Center of the Albany,69729286,Musab,,SIXTH WARD,42.65259,-73.76732,Private room,47,5,19,2025-07-12,0.55,2,267,4,
757342235277207834,Elegant Studio in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,93,7,14,2025-03-31,0.39,10,309,2,
757978037279611051,Charming location near universities & hospital,232967878,Diana,,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,105,2,59,2025-08-28,1.79,21,21,18,
761141715827746314,"Great place in the heart of Albany, with Parking",37769478,Erion,,SIXTH WARD,42.65405,-73.76953,Entire home/apt,140,1,46,2025-06-15,1.31,15,340,2,
764508866835218670,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,,TENTH WARD,42.66117,-73.79091,Private room,82,1,38,2025-10-12,1.06,2,89,9,
774701102203414342,Entire cozy unit in Albany,261036923,Hasan,,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,71,1,70,2025-10-13,2.02,1,257,18,
784781397995494758,Private bedroom and bathroom w/separate entry,491907850,Donna,,FOURTEENTH WARD,42.66298,-73.81361,Private room,47,1,50,2025-11-02,1.50,1,160,35,
786181179052991690,Center Square Gem: Junior 1 Bedroom,188679144,Elizabeth,,THIRD WARD,42.65653,-73.76223,Entire home/apt,71,30,3,2024-01-27,0.11,10,364,0,
786228331433922432,Glamorous 1BR Retreat in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65322,-73.76249,Entire home/apt,76,3,4,2024-11-09,0.16,10,310,1,
786316043239579100,Elegant newly renovated cozy smart apartment,253824490,Tomar,,FIFTH WARD,42.6591503133547,-73.75431932508945,Entire home/apt,86,2,36,2024-09-09,1.07,1,90,0,
787023821243442039,*The Allen House* Gorgeous Apartment - Sleeps 8,349460842,Scott,,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,204,1,130,2025-10-19,3.96,18,336,42,
794723189688979530,Newly Renovated| Washer&Dryer|5G Wifi,20144241,Carla,,FIFTH WARD,42.67283,-73.77367,Entire home/apt,105,3,19,2025-09-01,0.64,1,277,9,
795541666227926706,Mads Mansion -Victorian Mansion on Washington Park,493882819,Terra,,NINTH WARD,42.656329,-73.7752048,Entire home/apt,704,1,7,2025-08-17,0.26,6,122,2,
796231143904004713,Mads Mansion - Room 4,493882819,Terra,,NINTH WARD,42.65582,-73.77541,Private room,119,1,12,2024-12-01,0.43,6,137,2,
797455132224782470,Albany Medical/colleges/Downtown Albany/ Room O,89705052,Share,,TENTH WARD,42.65741,-73.78034,Private room,,2,22,2025-10-08,0.65,2,110,8,
802216634798169031,Mads Mansion - Room 6,493882819,Terra,,SIXTH WARD,42.65751,-73.77409,Private room,151,1,6,2024-10-13,0.22,6,131,0,
803604897479679272,3br/2ba Near Alb Med & St.Petes.,21886921,David,,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,140,14,4,2025-06-21,0.14,2,357,2,
803682039097862541,Modern and Cozy Pine Hills Home from Early 1900s,265709295,Priscela Lizette,,THIRTEENTH WARD,42.6702921,-73.7907283,Entire home/apt,138,1,36,2025-10-19,1.82,2,296,29,
803814397190632412,Mads Mansion - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,121,1,6,2024-10-11,0.21,6,133,0,
803867986023966300,Mads Mansion - Room 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,119,1,10,2025-08-27,0.36,6,132,1,
806767523952124375,& Modern Luxury Cottage in Central ALB,110453341,Alexis,,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,99,2,47,2025-08-03,1.39,1,97,11,
809524698302742033,Two bedroom apartment near hospitals pet friendly,172658781,Jessica,,NINTH WARD,42.65613971519499,-73.79212237894535,Entire home/apt,85,30,2,2025-10-20,0.32,3,92,2,
813640070361665090,The front room w/ TV and king size bed,116935236,Felicisimo,,THIRTEENTH WARD,42.67144,-73.79033,Private room,57,5,20,2025-09-05,0.72,5,364,8,
816085193659797849,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,95,1,50,2025-10-15,1.49,15,362,20,
821566342267452838,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,,180,3,2023-11-30,0.09,2,128,0,
823275570359807298,Cozy Home 5 Minute Walk to Albany Medical Center,500360485,Manjano,,SIXTH WARD,42.65184,-73.77074,Entire home/apt,,7,0,,,1,0,0,
826301775871257033,2 br apt 2 min walk to albanymed offstreet parking,484673863,Michaela,,NINTH WARD,42.65613,-73.77469,Entire home/apt,94,1,56,2025-10-11,1.69,3,359,39,
831122937768017113,Boho-Chic Cape Conveniently Located,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,276,2,120,2025-10-22,3.70,1,329,40,
841524382518312215,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66008,-73.76977,Entire home/apt,120,3,6,2024-07-09,0.23,2,364,0,
841524433909352403,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,,3,12,2023-12-03,0.42,2,364,0,
843481456379840308,Center Square Serenity: 2-Bedroom Elegance,188679144,Elizabeth,,SIXTH WARD,42.65483,-73.76353,Entire home/apt,,14,2,2023-09-04,0.06,10,364,0,
845960193409947556,Modern Cottage-Perfect for Families!,268741708,Antoinette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,292,2,137,2025-10-05,4.29,1,105,47,
846586211673806912,Spacious Home Away from Home!,49372011,Philip,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,150,3,19,2025-01-24,0.61,1,309,1,
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,86,1,202,2025-10-19,6.41,1,345,59,
